gps_start,detector,session_id,origin_table,local_cluster_id,global_family_id,max_similarity_to_3a,transitivity_status,gravity_spy_label,gravity_spy_confidence,robustness_class,native_o4a_score,native_score,native_score_idxq4_64_queryq4_64,robustness_class_idxq4_64_queryq4_64
1369279452.0,L1,1368973312,3a,C12,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.1381128877401352,0.1381128877401352,0.134090855717659,BACKGROUND
1369281340.0,H1,1368973312,3a,C1,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.3302026689052582,0.3302026689052582,0.4562239944934845,ROBUST
1369281884.0,H1,1368973312,3a,C2,Family_01,,Confirmed_Local,Not_Found,0.0,AMBIGUOUS,0.4101561307907104,0.4101561307907104,0.4034480154514313,ROBUST
1369282076.0,H1,1368973312,3a,C2,Family_01,,Confirmed_Local,Not_Found,0.0,ROBUST,0.4602667987346649,0.4602667987346649,0.4320996701717376,ROBUST
1369282364.0,H1,1368973312,3a,C8,Family_01,,Confirmed_Local,Not_Found,0.0,ROBUST,0.4799002408981323,0.4799002408981323,0.4566428959369659,ROBUST
1369284608.0,H1,1368973312,3a,C10,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.1403869539499282,0.1403869539499282,0.0684888213872909,BACKGROUND
1369284700.0,L1,1368973312,3a,C1,Family_01,,Confirmed_Local,Not_Found,0.0,ROBUST,0.4512932002544403,0.4512932002544403,0.4440856277942657,ROBUST
1369285884.0,L1,1368973312,3a,C11,Family_01,,Confirmed_Local,Not_Found,0.0,ROBUST,0.4586245119571686,0.4586245119571686,0.4486102163791656,ROBUST
1369286780.0,H1,1368973312,3a,C6,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.2316941618919372,0.2316941618919372,0.2484990358352661,AMBIGUOUS
1369287260.0,L1,1368973312,3a,C9,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.0524397827684879,0.0524397827684879,0.1613743752241134,AMBIGUOUS
1369287676.0,H1,1368973312,3a,C3,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.0774935185909271,0.0774935185909271,0.09232809394598,BACKGROUND
1369288704.0,H1,1368973312,3a,C10,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.1573480069637298,0.1573480069637298,0.0784860923886299,BACKGROUND
1369288892.0,H1,1368973312,3a,C8,Family_01,,Confirmed_Local,Not_Found,0.0,ROBUST,0.4486250579357147,0.4486250579357147,0.4220768213272095,ROBUST
1369289084.0,H1,1368973312,3a,C13,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.0605289787054061,0.0605289787054061,0.1088161617517471,BACKGROUND
1369289180.0,H1,1368973312,3a,C3,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.0603558756411075,0.0603558756411075,0.0740153789520263,BACKGROUND
1369289724.0,L1,1368973312,3a,C10,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.2550904750823974,0.2550904750823974,0.3908751904964447,ROBUST
1369290428.0,H1,1368973312,3a,C11,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.2319518774747848,0.2319518774747848,0.2380896508693695,AMBIGUOUS
1369290876.0,H1,1368973312,3a,C2,Family_01,,Confirmed_Local,Not_Found,0.0,ROBUST,0.4301479458808899,0.4301479458808899,0.4410910904407501,ROBUST
1369291452.0,L1,1368973312,3a,C8,Family_01,,Confirmed_Local,Not_Found,0.0,ROBUST,0.4565629959106445,0.4565629959106445,0.4481833875179291,ROBUST
1369291964.0,H1,1368973312,3a,C2,Family_01,,Confirmed_Local,Not_Found,0.0,ROBUST,0.4255850911140442,0.4255850911140442,0.4064918458461761,ROBUST
1369300860.0,L1,1368973312,3a,C11,Family_01,,Confirmed_Local,Not_Found,0.0,ROBUST,0.4751308560371399,0.4751308560371399,0.4170876443386078,ROBUST
1369300992.0,L1,1368973312,3a,C13,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.1467020213603973,0.1467020213603973,0.0542376451194286,BACKGROUND
1369301340.0,H1,1368973312,3a,C3,Family_01,,Confirmed_Local,Not_Found,0.0,BACKGROUND,0.0568077340722084,0.0568077340722084,0.0724894702434539,BACKGROUND
1369301724.0,L1,1368973312,3a,C11,Family_01,,Confirmed_Local,Not_Found,0.0,ROBUST,0.4530206620693207,0.4530206620693207,0.4244416952133178,ROBUST
