detector,gps_start,family,aux_channel,max_coherence,peak_freq,significant,data_available,note,dsd_class,dsd_score,taxonomy_representation
L1,1379439132,Family_01,L1:CAL-PCALX_RX_PD_OUT_DQ,0.2007115123254481,209.5,False,True,,ROBUST,0.42450812458992,idxq4-64_queryq4-64
L1,1379439132,Family_01,L1:CAL-PCALY_RX_PD_OUT_DQ,0.2541858010688764,470.5,False,True,,ROBUST,0.42450812458992,idxq4-64_queryq4-64
L1,1379439132,Family_01,L1:IMC-WFS_B_I_PIT_OUT_DQ,0.2973197033355035,416.0,False,True,,ROBUST,0.42450812458992,idxq4-64_queryq4-64
L1,1379439132,Family_01,L1:SUS-ETMX_L1_CAL_LINE_OUT_DQ,0.1383632383693021,237.5,False,True,,ROBUST,0.42450812458992,idxq4-64_queryq4-64
L1,1379439132,Family_01,L1:SUS-ETMX_L2_CAL_LINE_OUT_DQ,0.1273974125154865,240.5,False,True,,ROBUST,0.42450812458992,idxq4-64_queryq4-64
L1,1379439132,Family_01,L1:SUS-ETMX_L3_CAL_LINE_OUT_DQ,0.1418678523052955,112.0,False,True,,ROBUST,0.42450812458992,idxq4-64_queryq4-64
H1,1377857596,Family_01,H1:CAL-PCALX_RX_PD_OUT_DQ,0.3844696927404851,180.0,False,True,,ROBUST,0.4278451800346374,idxq4-64_queryq4-64
H1,1377857596,Family_01,H1:CAL-PCALY_RX_PD_OUT_DQ,0.2113929563323932,110.5,False,True,,ROBUST,0.4278451800346374,idxq4-64_queryq4-64
H1,1377857596,Family_01,H1:IMC-WFS_A_DC_PIT_OUT_DQ,0.6067497459767958,122.0,False,True,,ROBUST,0.4278451800346374,idxq4-64_queryq4-64
H1,1377857596,Family_01,H1:IMC-WFS_A_DC_YAW_OUT_DQ,0.6322294025077522,122.0,False,True,,ROBUST,0.4278451800346374,idxq4-64_queryq4-64
H1,1377857596,Family_01,H1:LSC-POP_A_LF_OUT_DQ,0.2658961631549553,124.5,False,True,,ROBUST,0.4278451800346374,idxq4-64_queryq4-64
H1,1377857596,Family_01,H1:LSC-REFL_A_RIN_OUT_DQ,0.6371949473380087,180.0,True,True,,ROBUST,0.4278451800346374,idxq4-64_queryq4-64
H1,1377857596,Family_01,H1:SUS-ETMX_L1_CAL_LINE_OUT_DQ,0.2022720702243394,181.0,False,True,,ROBUST,0.4278451800346374,idxq4-64_queryq4-64
H1,1377857596,Family_01,H1:SUS-ETMX_L2_CAL_LINE_OUT_DQ,0.1816526972991573,221.0,False,True,,ROBUST,0.4278451800346374,idxq4-64_queryq4-64
H1,1377857596,Family_01,H1:SUS-ETMX_L3_CAL_LINE_OUT_DQ,0.1506499509175171,211.0,False,True,,ROBUST,0.4278451800346374,idxq4-64_queryq4-64
L1,1377439420,Family_01,L1:ASC-X_TR_A_NSUM_OUT_DQ,0.2243137068085386,60.0,False,True,,ROBUST,0.430944949388504,idxq4-64_queryq4-64
L1,1377439420,Family_01,L1:CAL-PCALX_RX_PD_OUT_DQ,0.2537430714947156,211.5,False,True,,ROBUST,0.430944949388504,idxq4-64_queryq4-64
L1,1377439420,Family_01,L1:CAL-PCALY_RX_PD_OUT_DQ,0.4007305516249124,435.0,False,True,,ROBUST,0.430944949388504,idxq4-64_queryq4-64
