detector,gps_start,family,m_channels,n_windows,n_surrogate_pairs,threshold_fw,cmax_observed,top_channel,top_channel_baseline,threshold_zero_lag,verdict,dsd_class,dsd_score,taxonomy_representation,top_channel_class,verdict_tier
H1,1385210908,Family_01,9,138,18906,0.917879581451416,0.9679095631725532,H1:LSC-REFL_A_RIN_OUT_DQ,0.8935427665710449,0.9845084547996521,COUPLED,BACKGROUND,0.1062146201729774,idxq4-64_queryq4-64,LSC,SUSPECT
H1,1386783232,Family_01,9,144,20592,0.861129641532898,0.8828918038809495,H1:LSC-REFL_A_RIN_OUT_DQ,0.7660497426986694,0.9813934564590454,COUPLED,BACKGROUND,0.0812820866703987,idxq4-64_queryq4-64,LSC,SUSPECT
H1,1387122588,Family_01,9,139,19182,0.8737038969993591,0.9554041152354752,H1:LSC-REFL_A_RIN_OUT_DQ,0.808751106262207,0.9790933728218079,COUPLED,BACKGROUND,0.0943701788783073,idxq4-64_queryq4-64,LSC,SUSPECT
H1,1387124124,Family_01,9,139,19182,0.8737038969993591,0.8002660684977475,H1:LSC-REFL_A_RIN_OUT_DQ,0.808751106262207,0.9790933728218079,NO_CORRELATION,BACKGROUND,0.1075926199555397,idxq4-64_queryq4-64,LSC,NO_CORRELATION
H1,1387258012,Family_01,9,133,17556,0.8626954555511475,0.9117978997458211,H1:LSC-REFL_A_RIN_OUT_DQ,0.8209593892097473,0.9822449684143066,COUPLED,BACKGROUND,0.1294050514698028,idxq4-64_queryq4-64,LSC,SUSPECT
H1,1387258556,Family_01,9,133,17556,0.8626954555511475,0.9244648676405924,H1:LSC-REFL_A_RIN_OUT_DQ,0.8209593892097473,0.9822449684143066,COUPLED,BACKGROUND,0.1043968796730041,idxq4-64_queryq4-64,LSC,SUSPECT
H1,1387273692,Family_01,9,143,20306,0.8903058171272278,0.6159097369198974,H1:LSC-REFL_A_RIN_OUT_DQ,0.8023610711097717,0.9804773330688477,NO_CORRELATION,BACKGROUND,0.0990295335650444,idxq4-64_queryq4-64,LSC,NO_CORRELATION
H1,1387486620,Family_01,9,123,15006,0.8840005397796631,0.9527440652736594,H1:LSC-REFL_A_RIN_OUT_DQ,0.8016395568847656,0.9864341020584106,COUPLED,AMBIGUOUS,0.1334612667560577,idxq4-64_queryq4-64,LSC,SUSPECT
H1,1387494940,Family_01,9,123,15006,0.8840005397796631,0.9778038055302098,H1:LSC-REFL_A_RIN_OUT_DQ,0.8016395568847656,0.9864341020584106,COUPLED,BACKGROUND,0.096434362232685,idxq4-64_queryq4-64,LSC,SUSPECT
H1,1388184828,Family_01,9,122,14762,0.8993390202522278,0.8985127007824849,H1:LSC-REFL_A_RIN_OUT_DQ,0.8195257186889648,0.9812139272689819,NO_CORRELATION,BACKGROUND,0.085406444966793,idxq4-64_queryq4-64,LSC,NO_CORRELATION
