gps_start,detector,session_id,origin_table,local_cluster_id,global_family_id,max_similarity_to_3a,transitivity_status,gravity_spy_label,gravity_spy_confidence,robustness_class_idxq4_64_queryq4_64,native_score_idxq4_64_queryq4_64,robustness_class,native_o4a_score
1369230556.0,H1,1368973312,3a,C3,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.1064011082053184,BACKGROUND,0.1064011082053184
1369230780.0,L1,1368973312,3a,C3,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.1402280181646347,BACKGROUND,0.1402280181646347
1369241756.0,H1,1368973312,3a,C3,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.0847460851073265,BACKGROUND,0.0847460851073265
1369242556.0,H1,1368973312,3a,C3,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.0722448527812957,BACKGROUND,0.0722448527812957
1369243100.0,H1,1368973312,3a,C3,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.0775884613394737,BACKGROUND,0.0775884613394737
1369243132.0,L1,1368973312,3a,C11,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.4486826956272125,ROBUST,0.4486826956272125
1369243580.0,L1,1368973312,3a,C2,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.07313784211874,BACKGROUND,0.07313784211874
1369244220.0,L1,1368973312,3a,C11,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.4685118794441223,ROBUST,0.4685118794441223
1369244284.0,L1,1368973312,3a,C12,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,AMBIGUOUS,0.1596952378749847,AMBIGUOUS,0.1596952378749847
1369244508.0,L1,1368973312,3a,C3,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.1090902462601661,BACKGROUND,0.1090902462601661
1369244604.0,L1,1368973312,3a,C12,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.1212654262781143,BACKGROUND,0.1212654262781143
1369245116.0,L1,1368973312,3a,C3,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.1068989858031272,BACKGROUND,0.1068989858031272
1369245148.0,H1,1368973312,3a,C13,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.1081067398190498,BACKGROUND,0.1081067398190498
1369245436.0,L1,1368973312,3a,C0,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.1151316836476326,BACKGROUND,0.1151316836476326
1369245692.0,L1,1368973312,3a,C12,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.1211281418800354,BACKGROUND,0.1211281418800354
1369245852.0,L1,1368973312,3a,C9,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,AMBIGUOUS,0.1537017673254013,AMBIGUOUS,0.1537017673254013
1369246460.0,L1,1368973312,3a,C12,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,AMBIGUOUS,0.1599007844924926,AMBIGUOUS,0.1599007844924926
1369254108.0,H1,1368973312,3a,C2,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.402709424495697,ROBUST,0.402709424495697
1369254172.0,L1,1368973312,3a,C3,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.1180942729115486,BACKGROUND,0.1180942729115486
1369254236.0,L1,1368973312,3a,C12,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,AMBIGUOUS,0.1554037779569625,AMBIGUOUS,0.1554037779569625
1369254396.0,L1,1368973312,3a,C3,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.1130453050136566,BACKGROUND,0.1130453050136566
1369254460.0,L1,1368973312,3a,C12,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.1432921290397644,BACKGROUND,0.1432921290397644
1369254652.0,L1,1368973312,3a,C3,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.1130310967564582,BACKGROUND,0.1130310967564582
1369255260.0,L1,1368973312,3a,C0,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.0911934226751327,BACKGROUND,0.0911934226751327
1369255612.0,L1,1368973312,3a,C3,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.1458532661199569,BACKGROUND,0.1458532661199569
1369255644.0,L1,1368973312,3a,C0,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.0966976657509803,BACKGROUND,0.0966976657509803
1369255996.0,L1,1368973312,3a,C12,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.1102591007947921,BACKGROUND,0.1102591007947921
1369256028.0,H1,1368973312,3a,C3,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.0885229185223579,BACKGROUND,0.0885229185223579
1369256540.0,H1,1368973312,3a,C3,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.0756398811936378,BACKGROUND,0.0756398811936378
1369258140.0,H1,1368973312,3a,C2,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.434476763010025,ROBUST,0.434476763010025
1369259260.0,L1,1368973312,3a,C11,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.4069575667381286,ROBUST,0.4069575667381286
1369260988.0,H1,1368973312,3a,C1,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.4370008409023285,ROBUST,0.4370008409023285
1369261436.0,H1,1368973312,3a,C2,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.4449500441551208,ROBUST,0.4449500441551208
1369261884.0,H1,1368973312,3a,C3,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.0848756954073906,BACKGROUND,0.0848756954073906
1369262236.0,L1,1368973312,3a,C11,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,ROBUST,0.4127010405063629,ROBUST,0.4127010405063629
1369262588.0,L1,1368973312,3a,C12,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.1177126839756965,BACKGROUND,0.1177126839756965
1369262652.0,L1,1368973312,3a,C12,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.1354544758796692,BACKGROUND,0.1354544758796692
1369263036.0,L1,1368973312,3a,C9,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,AMBIGUOUS,0.1878452599048614,AMBIGUOUS,0.1878452599048614
1369263100.0,L1,1368973312,3a,C0,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.109396256506443,BACKGROUND,0.109396256506443
1369263388.0,L1,1368973312,3a,C12,Family_01,,Morphological_Subthreshold_Diagnostic_Only,No_Catalog_Coverage,0.0,BACKGROUND,0.1193542778491973,BACKGROUND,0.1193542778491973
