candidate_id,gps_start,detector,legacy_class,score,class,variant
1374902588.0_H1,1374902588.0,H1,BACKGROUND,0.109253242611885,BACKGROUND,idxq4-64_queryq4-64
1374905088.0_L1,1374905088.0,L1,BACKGROUND,0.0596327856183052,BACKGROUND,idxq4-64_queryq4-64
1374906428.0_L1,1374906428.0,L1,ROBUST,0.4027451574802398,ROBUST,idxq4-64_queryq4-64
1374906492.0_H1,1374906492.0,H1,BACKGROUND,0.1085227578878402,BACKGROUND,idxq4-64_queryq4-64
1374906684.0_L1,1374906684.0,L1,AMBIGUOUS,0.1811366081237793,AMBIGUOUS,idxq4-64_queryq4-64
1374907484.0_H1,1374907484.0,H1,ROBUST,0.4358367919921875,ROBUST,idxq4-64_queryq4-64
1374909372.0_L1,1374909372.0,L1,AMBIGUOUS,0.1582092642784118,AMBIGUOUS,idxq4-64_queryq4-64
1374909948.0_H1,1374909948.0,H1,ROBUST,0.4354880750179291,ROBUST,idxq4-64_queryq4-64
1374919548.0_H1,1374919548.0,H1,BACKGROUND,0.1160326674580574,BACKGROUND,idxq4-64_queryq4-64
1374919836.0_H1,1374919836.0,H1,ROBUST,0.4511351883411407,ROBUST,idxq4-64_queryq4-64
1374921436.0_L1,1374921436.0,L1,ROBUST,0.3487266004085541,ROBUST,idxq4-64_queryq4-64
1374963452.0_H1,1374963452.0,H1,ROBUST,0.5625473260879517,ROBUST,idxq4-64_queryq4-64
1374964188.0_L1,1374964188.0,L1,ROBUST,0.4236400425434112,ROBUST,idxq4-64_queryq4-64
1374964444.0_L1,1374964444.0,L1,ROBUST,0.32935631275177,ROBUST,idxq4-64_queryq4-64
1374964604.0_L1,1374964604.0,L1,ROBUST,0.4023831188678741,ROBUST,idxq4-64_queryq4-64
1374965532.0_L1,1374965532.0,L1,ROBUST,0.4256623685359955,ROBUST,idxq4-64_queryq4-64
1374966044.0_H1,1374966044.0,H1,ROBUST,0.2364391386508941,ROBUST,idxq4-64_queryq4-64
1374966908.0_H1,1374966908.0,H1,BACKGROUND,0.0932692065834999,BACKGROUND,idxq4-64_queryq4-64
1374968028.0_H1,1374968028.0,H1,BACKGROUND,0.1140859946608543,BACKGROUND,idxq4-64_queryq4-64
1374968540.0_H1,1374968540.0,H1,AMBIGUOUS,0.1385310292243957,AMBIGUOUS,idxq4-64_queryq4-64
1374974236.0_L1,1374974236.0,L1,ROBUST,0.4137585163116455,ROBUST,idxq4-64_queryq4-64
1374975292.0_H1,1374975292.0,H1,ROBUST,0.4356808960437774,ROBUST,idxq4-64_queryq4-64
1374978588.0_L1,1374978588.0,L1,ROBUST,0.4142575263977051,ROBUST,idxq4-64_queryq4-64
1374979260.0_L1,1374979260.0,L1,BACKGROUND,0.0784339606761932,BACKGROUND,idxq4-64_queryq4-64
1374980028.0_L1,1374980028.0,L1,ROBUST,0.2308712601661682,ROBUST,idxq4-64_queryq4-64
1374980156.0_L1,1374980156.0,L1,BACKGROUND,0.0839521363377571,BACKGROUND,idxq4-64_queryq4-64
1374980828.0_L1,1374980828.0,L1,ROBUST,0.4421647489070892,ROBUST,idxq4-64_queryq4-64
1374981852.0_L1,1374981852.0,L1,ROBUST,0.4494031369686126,ROBUST,idxq4-64_queryq4-64
1374982876.0_L1,1374982876.0,L1,AMBIGUOUS,0.1706538796424865,AMBIGUOUS,idxq4-64_queryq4-64
1374984572.0_H1,1374984572.0,H1,ROBUST,0.4360122680664062,ROBUST,idxq4-64_queryq4-64
1374987008.0_H1,1374987008.0,H1,BACKGROUND,0.0649469420313835,BACKGROUND,idxq4-64_queryq4-64
1374989948.0_H1,1374989948.0,H1,ROBUST,0.4203901588916778,ROBUST,idxq4-64_queryq4-64
1374992156.0_L1,1374992156.0,L1,ROBUST,0.4295780658721924,ROBUST,idxq4-64_queryq4-64
