gps_start,analysis_start,detector,pad_s,score,stored_pad4_score,pad4_anchor_abs_delta,fixed_pad4_threshold_class,pad_specific_threshold_class,pad_specific_ci_lower,pad_specific_ci_upper,representation
1383923772,1383923776.0,H1,64.0,0.20220960676670074,0.2061814218759536,,AMBIGUOUS,AMBIGUOUS,0.13209254726767536,0.2630360516905726,idxq4-64_queryq4-64
1383923772,1383923776.0,H1,128.0,0.22212693095207214,0.2061814218759536,,ROBUST,AMBIGUOUS,0.1436650867760179,0.33834537237881496,idxq4-64_queryq4-64
1374064540,1374064544.0,H1,4.0,0.20656676590442657,0.2065671235322952,3.576278686245882e-07,ROBUST,ROBUST,0.13023118793964325,0.2040884156525078,idxq4-64_queryq4-64
1374064540,1374064544.0,H1,16.0,0.2071957290172577,0.2065671235322952,,ROBUST,AMBIGUOUS,0.12798184379935182,0.21352421537041372,idxq4-64_queryq4-64
1374064540,1374064544.0,H1,64.0,0.20878280699253082,0.2065671235322952,,ROBUST,AMBIGUOUS,0.13209254726767536,0.2630360516905726,idxq4-64_queryq4-64
1374064540,1374064544.0,H1,128.0,0.21034793555736542,0.2065671235322952,,ROBUST,AMBIGUOUS,0.1436650867760179,0.33834537237881496,idxq4-64_queryq4-64
1378490076,1378490080.0,H1,4.0,0.2066894769668579,0.2066894322633743,4.4703483609298544e-08,ROBUST,ROBUST,0.13023118793964325,0.2040884156525078,idxq4-64_queryq4-64
1378490076,1378490080.0,H1,16.0,0.21021856367588043,0.2066894322633743,,ROBUST,AMBIGUOUS,0.12798184379935182,0.21352421537041372,idxq4-64_queryq4-64
1378490076,1378490080.0,H1,64.0,0.2158731371164322,0.2066894322633743,,ROBUST,AMBIGUOUS,0.13209254726767536,0.2630360516905726,idxq4-64_queryq4-64
1378490076,1378490080.0,H1,128.0,0.21807625889778137,0.2066894322633743,,ROBUST,AMBIGUOUS,0.1436650867760179,0.33834537237881496,idxq4-64_queryq4-64
1368994780,1368994784.0,H1,4.0,0.20677906274795532,0.206779196858406,1.3411045068911776e-07,ROBUST,ROBUST,0.13023118793964325,0.2040884156525078,idxq4-64_queryq4-64
1368994780,1368994784.0,H1,16.0,0.17009678483009338,0.206779196858406,,AMBIGUOUS,AMBIGUOUS,0.12798184379935182,0.21352421537041372,idxq4-64_queryq4-64
1368994780,1368994784.0,H1,64.0,0.1978834718465805,0.206779196858406,,AMBIGUOUS,AMBIGUOUS,0.13209254726767536,0.2630360516905726,idxq4-64_queryq4-64
1368994780,1368994784.0,H1,128.0,0.2151263803243637,0.206779196858406,,ROBUST,AMBIGUOUS,0.1436650867760179,0.33834537237881496,idxq4-64_queryq4-64
1388732924,1388732928.0,H1,4.0,0.13021796941757202,0.1302181929349899,2.2351741787995927e-07,BACKGROUND,BACKGROUND,0.13023118793964325,0.2040884156525078,idxq4-64_queryq4-64
1388732924,1388732928.0,H1,16.0,0.13057908415794373,0.1302181929349899,,AMBIGUOUS,AMBIGUOUS,0.12798184379935182,0.21352421537041372,idxq4-64_queryq4-64
1388732924,1388732928.0,H1,64.0,0.12751007080078125,0.1302181929349899,,BACKGROUND,BACKGROUND,0.13209254726767536,0.2630360516905726,idxq4-64_queryq4-64
1388732924,1388732928.0,H1,128.0,0.12873703241348267,0.1302181929349899,,BACKGROUND,BACKGROUND,0.1436650867760179,0.33834537237881496,idxq4-64_queryq4-64
1382959164,1382959168.0,H1,4.0,0.13018205761909485,0.1301822960376739,2.3841857904605135e-07,BACKGROUND,BACKGROUND,0.13023118793964325,0.2040884156525078,idxq4-64_queryq4-64
1382959164,1382959168.0,H1,16.0,0.13327158987522125,0.1301822960376739,,AMBIGUOUS,AMBIGUOUS,0.12798184379935182,0.21352421537041372,idxq4-64_queryq4-64
1382959164,1382959168.0,H1,64.0,0.12192632257938385,0.1301822960376739,,BACKGROUND,BACKGROUND,0.13209254726767536,0.2630360516905726,idxq4-64_queryq4-64
1382959164,1382959168.0,H1,128.0,0.1279813051223755,0.1301822960376739,,BACKGROUND,BACKGROUND,0.1436650867760179,0.33834537237881496,idxq4-64_queryq4-64
1384421724,1384421728.0,H1,4.0,0.13016793131828308,0.1301677972078323,1.3411045077238448e-07,BACKGROUND,BACKGROUND,0.13023118793964325,0.2040884156525078,idxq4-64_queryq4-64
1384421724,1384421728.0,H1,16.0,0.1277807354927063,0.1301677972078323,,BACKGROUND,BACKGROUND,0.12798184379935182,0.21352421537041372,idxq4-64_queryq4-64
1384421724,1384421728.0,H1,64.0,0.12088829278945923,0.1301677972078323,,BACKGROUND,BACKGROUND,0.13209254726767536,0.2630360516905726,idxq4-64_queryq4-64
