shift_id,offset_s,covered_any,covered_both,overlap_any,overlap_both
468,3100839.6317005698,115,68,2,0
469,10409824.071285121,105,66,2,0
470,8291368.793407179,109,71,4,0
471,9715628.890841216,118,72,1,0
472,2507421.835013319,114,66,0,0
473,2809539.6994521692,114,81,2,0
474,5733446.9535074625,108,66,4,0
475,6274219.211333457,113,78,1,0
476,8776087.302155383,115,75,2,0
477,12494090.710201032,108,63,1,0
478,12974194.264883118,116,73,5,0
479,8449290.963501126,110,75,3,0
480,8387803.873034209,108,71,1,0
481,4505913.068751225,111,72,3,0
482,12033487.970190777,113,74,0,0
483,6524740.01066594,117,78,1,0
484,818688.6905709911,116,73,1,0
485,8583100.736719858,103,73,1,0
486,9714896.712661143,119,74,1,0
487,4667649.730343835,108,77,6,0
488,11711646.722670676,113,75,2,0
489,11575869.445211278,112,76,3,0
490,14342379.493116979,113,78,1,0
491,13244678.597149294,116,71,1,0
492,13335749.5386065,115,73,3,0
493,6507950.509581937,115,75,2,0
494,16077258.591201957,113,68,0,0
495,11238204.48438885,116,82,1,0
496,8847468.140435137,107,71,0,0
497,12799211.05795861,109,76,3,0
498,7410484.885081984,108,73,3,0
499,10498903.483776204,109,78,0,0
500,15047124.439421536,113,77,3,0
501,18087115.262430366,116,73,3,0
502,18790861.139791835,107,71,2,0
503,10313975.991448306,108,70,2,0
504,10651938.92010558,106,76,3,0
505,16329848.353627685,112,75,0,0
506,6472138.867664541,113,78,3,0
507,17091626.061558716,118,79,4,0
508,10121230.900817228,107,77,3,0
509,2439172.0151108964,120,79,0,0
510,1549748.3350985113,115,73,4,0
511,17185261.332505003,114,80,1,0
512,1214851.0293781136,122,79,3,0
513,5784944.800427831,115,78,3,0
514,6871779.210489192,118,78,5,0
515,3599501.9951728103,108,68,2,0
516,6460820.996590877,114,74,2,0
517,15168703.568026349,106,65,0,0
518,384573.31388049317,107,69,2,0
519,16884307.035796292,116,80,5,0
520,17480834.643542696,111,74,1,0
521,7646139.123744683,105,70,5,0
522,3205909.308963747,113,77,1,0
523,12288026.668385524,110,74,3,0
524,2516662.3954819283,117,73,1,0
525,7497036.4170327205,108,75,1,0
526,19549796.434064586,118,69,2,0
527,20301894.323439468,118,83,0,0
528,15765997.291672383,108,73,3,0
529,6401281.958866952,114,76,0,0
530,14051226.75244534,115,74,1,0
531,14411510.307703136,114,79,1,0
