selection_ordinal,gps_start,gps_end,source_path,source_start,source_end,detector,run,calibration_score,bootstrap_block_index,sampling_strategy
52,1369284932.0,1369284964.0,E:\o4a\1368973312\H1_1369284608_1369288704.hdf5,1369284608.0,1369288704.0,H1,O4a,0.0632448270916938,352,run_spanning_complete_raw_blocks_within_block_even_spacing
53,1369285060.0,1369285092.0,E:\o4a\1368973312\H1_1369284608_1369288704.hdf5,1369284608.0,1369288704.0,H1,O4a,0.0582875348627567,352,run_spanning_complete_raw_blocks_within_block_even_spacing
54,1369285188.0,1369285220.0,E:\o4a\1368973312\H1_1369284608_1369288704.hdf5,1369284608.0,1369288704.0,H1,O4a,0.0654700919985771,352,run_spanning_complete_raw_blocks_within_block_even_spacing
55,1369285252.0,1369285284.0,E:\o4a\1368973312\H1_1369284608_1369288704.hdf5,1369284608.0,1369288704.0,H1,O4a,0.0554640218615531,352,run_spanning_complete_raw_blocks_within_block_even_spacing
56,1369285380.0,1369285412.0,E:\o4a\1368973312\H1_1369284608_1369288704.hdf5,1369284608.0,1369288704.0,H1,O4a,0.0552857853472232,352,run_spanning_complete_raw_blocks_within_block_even_spacing
57,1369285508.0,1369285540.0,E:\o4a\1368973312\H1_1369284608_1369288704.hdf5,1369284608.0,1369288704.0,H1,O4a,0.0623299591243267,352,run_spanning_complete_raw_blocks_within_block_even_spacing
58,1369285636.0,1369285668.0,E:\o4a\1368973312\H1_1369284608_1369288704.hdf5,1369284608.0,1369288704.0,H1,O4a,0.0645148083567619,352,run_spanning_complete_raw_blocks_within_block_even_spacing
59,1369285764.0,1369285796.0,E:\o4a\1368973312\H1_1369284608_1369288704.hdf5,1369284608.0,1369288704.0,H1,O4a,0.0685606598854065,352,run_spanning_complete_raw_blocks_within_block_even_spacing
60,1369313284.0,1369313316.0,E:\o4a\1368973312\H1_1369313280_1369317376.hdf5,1369313280.0,1369317376.0,H1,O4a,0.0723812058568,362,run_spanning_complete_raw_blocks_within_block_even_spacing
61,1369313348.0,1369313380.0,E:\o4a\1368973312\H1_1369313280_1369317376.hdf5,1369313280.0,1369317376.0,H1,O4a,0.0540203861892223,362,run_spanning_complete_raw_blocks_within_block_even_spacing
62,1369313476.0,1369313508.0,E:\o4a\1368973312\H1_1369313280_1369317376.hdf5,1369313280.0,1369317376.0,H1,O4a,0.0541524738073349,362,run_spanning_complete_raw_blocks_within_block_even_spacing
63,1369313604.0,1369313636.0,E:\o4a\1368973312\H1_1369313280_1369317376.hdf5,1369313280.0,1369317376.0,H1,O4a,0.0540550090372562,362,run_spanning_complete_raw_blocks_within_block_even_spacing
64,1369313732.0,1369313764.0,E:\o4a\1368973312\H1_1369313280_1369317376.hdf5,1369313280.0,1369317376.0,H1,O4a,0.0656159222126007,362,run_spanning_complete_raw_blocks_within_block_even_spacing
65,1369313796.0,1369313828.0,E:\o4a\1368973312\H1_1369313280_1369317376.hdf5,1369313280.0,1369317376.0,H1,O4a,0.1983125805854797,362,run_spanning_complete_raw_blocks_within_block_even_spacing
66,1369313924.0,1369313956.0,E:\o4a\1368973312\H1_1369313280_1369317376.hdf5,1369313280.0,1369317376.0,H1,O4a,0.0567166544497013,362,run_spanning_complete_raw_blocks_within_block_even_spacing
67,1369314052.0,1369314084.0,E:\o4a\1368973312\H1_1369313280_1369317376.hdf5,1369313280.0,1369317376.0,H1,O4a,0.0594529472291469,362,run_spanning_complete_raw_blocks_within_block_even_spacing
