candidate_key,gps_start,detector,robustness_class_idxq4_64_queryq4_64,native_score_idxq4_64_queryq4_64,autoencoder_percentile_mean,autoencoder_percentile_seed_42,autoencoder_mse_seed_42,autoencoder_percentile_seed_314159,autoencoder_mse_seed_314159,autoencoder_percentile_seed_271828,autoencoder_mse_seed_271828
H1:1383158492,1383158492.0,H1,ROBUST,0.2103741019964218,0.7684478371501271,0.7709923664122137,0.9789050817489624,0.7557251908396947,0.9722752571105957,0.7786259541984732,0.9903820753097534
H1:1381738460,1381738460.0,H1,ROBUST,0.2106201350688934,0.8931297709923663,0.9083969465648855,1.0387659072875977,0.8931297709923665,1.015415906906128,0.8778625954198473,1.0310322046279907
H1:1376361020,1376361020.0,H1,ROBUST,0.2106214165687561,0.20356234096692113,0.22137404580152673,0.8122673034667969,0.11450381679389313,0.7862825989723206,0.2748091603053435,0.8232840299606323
H1:1369404316,1369404316.0,H1,ROBUST,0.2106449902057647,0.9363867684478371,0.9312977099236641,1.054911494255066,0.9389312977099237,1.0496809482574463,0.9389312977099237,1.0758891105651855
H1:1374118652,1374118652.0,H1,ROBUST,0.2109288722276687,0.29770992366412213,0.29770992366412213,0.8409562110900879,0.20610687022900764,0.8128783106803894,0.3893129770992366,0.8681048154830933
H1:1369918684,1369918684.0,H1,ROBUST,0.2109617888927459,0.9745547073791347,0.9694656488549618,1.1349430084228516,0.9770992366412213,1.1424400806427002,0.9770992366412213,1.1713168621063232
H1:1369550332,1369550332.0,H1,AMBIGUOUS,0.2040440589189529,0.3333333333333333,0.3282442748091603,0.8522821664810181,0.366412213740458,0.8478015661239624,0.3053435114503817,0.8447059988975525
H1:1386304892,1386304892.0,H1,AMBIGUOUS,0.203891173005104,0.7480916030534351,0.7251908396946565,0.9650611877441406,0.7557251908396947,0.9710801839828491,0.7633587786259542,0.9839174747467041
H1:1377329916,1377329916.0,H1,AMBIGUOUS,0.2034889906644821,0.796437659033079,0.8320610687022901,0.9979976415634155,0.8091603053435115,0.985955536365509,0.7480916030534351,0.9776425361633301
H1:1388201660,1388201660.0,H1,AMBIGUOUS,0.2032232731580734,0.9669211195928753,0.9694656488549618,1.1165757179260254,0.9618320610687023,1.1112689971923828,0.9694656488549618,1.1094658374786377
