selection_ordinal,gps_start,gps_end,source_path,source_start,source_end,detector,run,calibration_score,bootstrap_block_index,sampling_strategy
64,1369715012.0,1369715044.0,E:\o4a\1369491712\L1_1369712896_1369716992.hdf5,1369712896.0,1369716992.0,L1,O4a,0.0553876906633377,13,run_spanning_complete_raw_blocks_within_block_even_spacing
65,1369715076.0,1369715108.0,E:\o4a\1369491712\L1_1369712896_1369716992.hdf5,1369712896.0,1369716992.0,L1,O4a,0.0573153644800186,13,run_spanning_complete_raw_blocks_within_block_even_spacing
66,1369715204.0,1369715236.0,E:\o4a\1369491712\L1_1369712896_1369716992.hdf5,1369712896.0,1369716992.0,L1,O4a,0.0628455355763435,13,run_spanning_complete_raw_blocks_within_block_even_spacing
67,1369715332.0,1369715364.0,E:\o4a\1369491712\L1_1369712896_1369716992.hdf5,1369712896.0,1369716992.0,L1,O4a,0.061123464256525,13,run_spanning_complete_raw_blocks_within_block_even_spacing
68,1369715460.0,1369715492.0,E:\o4a\1369491712\L1_1369712896_1369716992.hdf5,1369712896.0,1369716992.0,L1,O4a,0.0570765808224678,13,run_spanning_complete_raw_blocks_within_block_even_spacing
69,1369715588.0,1369715620.0,E:\o4a\1369491712\L1_1369712896_1369716992.hdf5,1369712896.0,1369716992.0,L1,O4a,0.0854553505778312,13,run_spanning_complete_raw_blocks_within_block_even_spacing
70,1369979140.0,1369979172.0,E:\o4a\1369491712\L1_1369979136_1369983232.hdf5,1369979136.0,1369983232.0,L1,O4a,0.0711848735809326,18,run_spanning_complete_raw_blocks_within_block_even_spacing
71,1369979204.0,1369979236.0,E:\o4a\1369491712\L1_1369979136_1369983232.hdf5,1369979136.0,1369983232.0,L1,O4a,0.0562759153544902,18,run_spanning_complete_raw_blocks_within_block_even_spacing
72,1369979332.0,1369979364.0,E:\o4a\1369491712\L1_1369979136_1369983232.hdf5,1369979136.0,1369983232.0,L1,O4a,0.0641754791140556,18,run_spanning_complete_raw_blocks_within_block_even_spacing
73,1369979460.0,1369979492.0,E:\o4a\1369491712\L1_1369979136_1369983232.hdf5,1369979136.0,1369983232.0,L1,O4a,0.0689234584569931,18,run_spanning_complete_raw_blocks_within_block_even_spacing
74,1369979588.0,1369979620.0,E:\o4a\1369491712\L1_1369979136_1369983232.hdf5,1369979136.0,1369983232.0,L1,O4a,0.062426708638668,18,run_spanning_complete_raw_blocks_within_block_even_spacing
75,1369979652.0,1369979684.0,E:\o4a\1369491712\L1_1369979136_1369983232.hdf5,1369979136.0,1369983232.0,L1,O4a,0.1145777255296707,18,run_spanning_complete_raw_blocks_within_block_even_spacing
76,1369979780.0,1369979812.0,E:\o4a\1369491712\L1_1369979136_1369983232.hdf5,1369979136.0,1369983232.0,L1,O4a,0.0556100346148014,18,run_spanning_complete_raw_blocks_within_block_even_spacing
77,1369979908.0,1369979940.0,E:\o4a\1369491712\L1_1369979136_1369983232.hdf5,1369979136.0,1369983232.0,L1,O4a,0.0789699628949165,18,run_spanning_complete_raw_blocks_within_block_even_spacing
78,1369980036.0,1369980068.0,E:\o4a\1369491712\L1_1369979136_1369983232.hdf5,1369979136.0,1369983232.0,L1,O4a,0.0619265958666801,18,run_spanning_complete_raw_blocks_within_block_even_spacing
79,1369980164.0,1369980196.0,E:\o4a\1369491712\L1_1369979136_1369983232.hdf5,1369979136.0,1369983232.0,L1,O4a,0.0732919350266456,18,run_spanning_complete_raw_blocks_within_block_even_spacing
80,1370209284.0,1370209316.0,E:\o4a\1370010112\L1_1370206720_1370210816.hdf5,1370206720.0,1370210816.0,L1,O4a,0.0593009628355503,22,run_spanning_complete_raw_blocks_within_block_even_spacing
81,1370209348.0,1370209380.0,E:\o4a\1370010112\L1_1370206720_1370210816.hdf5,1370206720.0,1370210816.0,L1,O4a,0.0646732524037361,22,run_spanning_complete_raw_blocks_within_block_even_spacing
82,1370209476.0,1370209508.0,E:\o4a\1370010112\L1_1370206720_1370210816.hdf5,1370206720.0,1370210816.0,L1,O4a,0.0592619404196739,22,run_spanning_complete_raw_blocks_within_block_even_spacing
